signal_id,source_type,source_name,source_url,title,text,company_name,location,industry,published_at,expected_products,expected_priority
SIG-DEMO-0001,tender,GeM,https://demo.example.com/signals/sig-demo-0001,Tender for Bitumen VG-30 for highway widening package,Supply of 500 MT bitumen for road construction and paving works near Vadodara. Bid closing within 10 days.,National Highways Authority Demo Unit,"Vadodara, Gujarat",Infrastructure,2026-07-01,BITUMEN,CRITICAL
SIG-DEMO-0002,news,Business News RSS,https://demo.example.com/signals/sig-demo-0002,Steel manufacturer announces new blast furnace capacity,"Bharat Process Industries plans a 750 MTPA expansion with boilers, furnace operations, and captive power needs.",Bharat Process Industries,"Jamshedpur, Jharkhand",Steel,2026-07-02,FO|LSHS|HSD,HIGH
SIG-DEMO-0003,company_page,Company Website,https://demo.example.com/signals/sig-demo-0003,Edible oil plant expansion with solvent extraction line,Coromandel Demo Chemicals is commissioning a solvent extraction plant and oil mill using hexane recovery systems.,Coromandel Demo Chemicals,"Mumbai, Maharashtra",Edible Oil,2026-07-03,HEXANE,HIGH
SIG-DEMO-0004,tender,eProcure,https://demo.example.com/signals/sig-demo-0004,Supply of High Speed Diesel for mining fleet and DG sets,"Procurement requirement for 1250 KL HSD diesel for heavy vehicles, backup power, and mining operations.",Dakshin Energy Systems,"Kolkata, West Bengal",Mining,2026-07-04,HSD,CRITICAL
SIG-DEMO-0005,news,Industry RSS,https://demo.example.com/signals/sig-demo-0005,Jute mill adds batching unit in eastern region,Eastern Jute Mills has installed a new jute processing and fiber batching unit for higher production.,Eastern Jute Mills,"Chennai, Tamil Nadu",Jute Manufacturing,2026-07-05,JBO,MEDIUM
SIG-DEMO-0006,tender,Port Tender Portal,https://demo.example.com/signals/sig-demo-0006,Marine bunker fuel requirement for vessel refueling,"Tender for bunker fuel, HSD, and vessel refueling support at port operations.",Frontier Infra Projects,"Hyderabad, Telangana",Shipping,2026-07-06,MARINE_BUNKERS|HSD,CRITICAL
SIG-DEMO-0007,company_page,Company Website,https://demo.example.com/signals/sig-demo-0007,Paint manufacturer opens new resin and thinner line,"Ganga Petrochem Demo requires mineral turpentine oil, solvent 1425, paint thinner, and cleaning solvent for manufacturing.",Ganga Petrochem Demo,"Jaipur, Rajasthan",Paints,2026-07-07,MTO|SOLVENT_1425,HIGH
SIG-DEMO-0008,news,Chemical Industry RSS,https://demo.example.com/signals/sig-demo-0008,Fertilizer complex capacity expansion announced,Himalaya Minerals is expanding fertilizer production and sulfuric acid capacity with molten sulphur handling.,Himalaya Minerals,"Bengaluru, Karnataka",Fertilizers,2026-07-08,SULPHUR,HIGH
SIG-DEMO-0009,company_page,Company Website,https://demo.example.com/signals/sig-demo-0009,Polypropylene unit planned by petrochemical manufacturer,Indus Paints and Coatings disclosed a petrochemical expansion involving propylene and polymer production.,Indus Paints and Coatings,"Pune, Maharashtra",Petrochemicals,2026-07-09,PROPYLENE,HIGH
SIG-DEMO-0010,tender,State Procurement Portal,https://demo.example.com/signals/sig-demo-0010,Light diesel oil requirement for ceramic kilns,"Tender notice for LDO supply to medium speed engines, kilns, and industrial heating units.",Jai Bharat Foods,"Visakhapatnam, Andhra Pradesh",Ceramics,2026-07-10,LDO,CRITICAL
SIG-DEMO-0011,tender,GeM,https://demo.example.com/signals/sig-demo-0011,Tender for Bitumen VG-30 for highway widening package,Supply of 3000 MT bitumen for road construction and paving works near Vadodara. Bid closing within 10 days.,National Highways Authority Demo Unit,"Vadodara, Gujarat",Infrastructure,2026-07-11,BITUMEN,CRITICAL
SIG-DEMO-0012,news,Business News RSS,https://demo.example.com/signals/sig-demo-0012,Steel manufacturer announces new blast furnace capacity,"Bharat Process Industries plans a 3250 MTPA expansion with boilers, furnace operations, and captive power needs.",Bharat Process Industries,"Jamshedpur, Jharkhand",Steel,2026-07-12,FO|LSHS|HSD,HIGH
SIG-DEMO-0013,company_page,Company Website,https://demo.example.com/signals/sig-demo-0013,Edible oil plant expansion with solvent extraction line,Coromandel Demo Chemicals is commissioning a solvent extraction plant and oil mill using hexane recovery systems.,Coromandel Demo Chemicals,"Mumbai, Maharashtra",Edible Oil,2026-07-13,HEXANE,HIGH
SIG-DEMO-0014,tender,eProcure,https://demo.example.com/signals/sig-demo-0014,Supply of High Speed Diesel for mining fleet and DG sets,"Procurement requirement for 3750 KL HSD diesel for heavy vehicles, backup power, and mining operations.",Dakshin Energy Systems,"Kolkata, West Bengal",Mining,2026-07-14,HSD,CRITICAL
SIG-DEMO-0015,news,Industry RSS,https://demo.example.com/signals/sig-demo-0015,Jute mill adds batching unit in eastern region,Eastern Jute Mills has installed a new jute processing and fiber batching unit for higher production.,Eastern Jute Mills,"Chennai, Tamil Nadu",Jute Manufacturing,2026-07-01,JBO,MEDIUM
SIG-DEMO-0016,tender,Port Tender Portal,https://demo.example.com/signals/sig-demo-0016,Marine bunker fuel requirement for vessel refueling,"Tender for bunker fuel, HSD, and vessel refueling support at port operations.",Frontier Infra Projects,"Hyderabad, Telangana",Shipping,2026-07-02,MARINE_BUNKERS|HSD,CRITICAL
SIG-DEMO-0017,company_page,Company Website,https://demo.example.com/signals/sig-demo-0017,Paint manufacturer opens new resin and thinner line,"Ganga Petrochem Demo requires mineral turpentine oil, solvent 1425, paint thinner, and cleaning solvent for manufacturing.",Ganga Petrochem Demo,"Jaipur, Rajasthan",Paints,2026-07-03,MTO|SOLVENT_1425,HIGH
SIG-DEMO-0018,news,Chemical Industry RSS,https://demo.example.com/signals/sig-demo-0018,Fertilizer complex capacity expansion announced,Himalaya Minerals is expanding fertilizer production and sulfuric acid capacity with molten sulphur handling.,Himalaya Minerals,"Bengaluru, Karnataka",Fertilizers,2026-07-04,SULPHUR,HIGH
SIG-DEMO-0019,company_page,Company Website,https://demo.example.com/signals/sig-demo-0019,Polypropylene unit planned by petrochemical manufacturer,Indus Paints and Coatings disclosed a petrochemical expansion involving propylene and polymer production.,Indus Paints and Coatings,"Pune, Maharashtra",Petrochemicals,2026-07-05,PROPYLENE,HIGH
SIG-DEMO-0020,tender,State Procurement Portal,https://demo.example.com/signals/sig-demo-0020,Light diesel oil requirement for ceramic kilns,"Tender notice for LDO supply to medium speed engines, kilns, and industrial heating units.",Jai Bharat Foods,"Visakhapatnam, Andhra Pradesh",Ceramics,2026-07-06,LDO,CRITICAL
SIG-DEMO-0021,tender,GeM,https://demo.example.com/signals/sig-demo-0021,Tender for Bitumen VG-30 for highway widening package,Supply of 5500 MT bitumen for road construction and paving works near Vadodara. Bid closing within 10 days.,National Highways Authority Demo Unit,"Vadodara, Gujarat",Infrastructure,2026-07-07,BITUMEN,CRITICAL
SIG-DEMO-0022,news,Business News RSS,https://demo.example.com/signals/sig-demo-0022,Steel manufacturer announces new blast furnace capacity,"Bharat Process Industries plans a 5750 MTPA expansion with boilers, furnace operations, and captive power needs.",Bharat Process Industries,"Jamshedpur, Jharkhand",Steel,2026-07-08,FO|LSHS|HSD,HIGH
SIG-DEMO-0023,company_page,Company Website,https://demo.example.com/signals/sig-demo-0023,Edible oil plant expansion with solvent extraction line,Coromandel Demo Chemicals is commissioning a solvent extraction plant and oil mill using hexane recovery systems.,Coromandel Demo Chemicals,"Mumbai, Maharashtra",Edible Oil,2026-07-09,HEXANE,HIGH
SIG-DEMO-0024,tender,eProcure,https://demo.example.com/signals/sig-demo-0024,Supply of High Speed Diesel for mining fleet and DG sets,"Procurement requirement for 6250 KL HSD diesel for heavy vehicles, backup power, and mining operations.",Dakshin Energy Systems,"Kolkata, West Bengal",Mining,2026-07-10,HSD,CRITICAL
SIG-DEMO-0025,news,Industry RSS,https://demo.example.com/signals/sig-demo-0025,Jute mill adds batching unit in eastern region,Eastern Jute Mills has installed a new jute processing and fiber batching unit for higher production.,Eastern Jute Mills,"Chennai, Tamil Nadu",Jute Manufacturing,2026-07-11,JBO,MEDIUM
SIG-DEMO-0026,tender,Port Tender Portal,https://demo.example.com/signals/sig-demo-0026,Marine bunker fuel requirement for vessel refueling,"Tender for bunker fuel, HSD, and vessel refueling support at port operations.",Frontier Infra Projects,"Hyderabad, Telangana",Shipping,2026-07-12,MARINE_BUNKERS|HSD,CRITICAL
SIG-DEMO-0027,company_page,Company Website,https://demo.example.com/signals/sig-demo-0027,Paint manufacturer opens new resin and thinner line,"Ganga Petrochem Demo requires mineral turpentine oil, solvent 1425, paint thinner, and cleaning solvent for manufacturing.",Ganga Petrochem Demo,"Jaipur, Rajasthan",Paints,2026-07-13,MTO|SOLVENT_1425,HIGH
SIG-DEMO-0028,news,Chemical Industry RSS,https://demo.example.com/signals/sig-demo-0028,Fertilizer complex capacity expansion announced,Himalaya Minerals is expanding fertilizer production and sulfuric acid capacity with molten sulphur handling.,Himalaya Minerals,"Bengaluru, Karnataka",Fertilizers,2026-07-14,SULPHUR,HIGH
SIG-DEMO-0029,company_page,Company Website,https://demo.example.com/signals/sig-demo-0029,Polypropylene unit planned by petrochemical manufacturer,Indus Paints and Coatings disclosed a petrochemical expansion involving propylene and polymer production.,Indus Paints and Coatings,"Pune, Maharashtra",Petrochemicals,2026-07-01,PROPYLENE,HIGH
SIG-DEMO-0030,tender,State Procurement Portal,https://demo.example.com/signals/sig-demo-0030,Light diesel oil requirement for ceramic kilns,"Tender notice for LDO supply to medium speed engines, kilns, and industrial heating units.",Jai Bharat Foods,"Visakhapatnam, Andhra Pradesh",Ceramics,2026-07-02,LDO,CRITICAL
SIG-DEMO-0031,tender,GeM,https://demo.example.com/signals/sig-demo-0031,Tender for Bitumen VG-30 for highway widening package,Supply of 8000 MT bitumen for road construction and paving works near Vadodara. Bid closing within 10 days.,National Highways Authority Demo Unit,"Vadodara, Gujarat",Infrastructure,2026-07-03,BITUMEN,CRITICAL
SIG-DEMO-0032,news,Business News RSS,https://demo.example.com/signals/sig-demo-0032,Steel manufacturer announces new blast furnace capacity,"Bharat Process Industries plans a 8250 MTPA expansion with boilers, furnace operations, and captive power needs.",Bharat Process Industries,"Jamshedpur, Jharkhand",Steel,2026-07-04,FO|LSHS|HSD,HIGH
SIG-DEMO-0033,company_page,Company Website,https://demo.example.com/signals/sig-demo-0033,Edible oil plant expansion with solvent extraction line,Coromandel Demo Chemicals is commissioning a solvent extraction plant and oil mill using hexane recovery systems.,Coromandel Demo Chemicals,"Mumbai, Maharashtra",Edible Oil,2026-07-05,HEXANE,HIGH
SIG-DEMO-0034,tender,eProcure,https://demo.example.com/signals/sig-demo-0034,Supply of High Speed Diesel for mining fleet and DG sets,"Procurement requirement for 8750 KL HSD diesel for heavy vehicles, backup power, and mining operations.",Dakshin Energy Systems,"Kolkata, West Bengal",Mining,2026-07-06,HSD,CRITICAL
SIG-DEMO-0035,news,Industry RSS,https://demo.example.com/signals/sig-demo-0035,Jute mill adds batching unit in eastern region,Eastern Jute Mills has installed a new jute processing and fiber batching unit for higher production.,Eastern Jute Mills,"Chennai, Tamil Nadu",Jute Manufacturing,2026-07-07,JBO,MEDIUM
SIG-DEMO-0036,tender,Port Tender Portal,https://demo.example.com/signals/sig-demo-0036,Marine bunker fuel requirement for vessel refueling,"Tender for bunker fuel, HSD, and vessel refueling support at port operations.",Frontier Infra Projects,"Hyderabad, Telangana",Shipping,2026-07-08,MARINE_BUNKERS|HSD,CRITICAL
